Date,Price,Strike,Open(C),Settle(C),Change(C),Open(P),Settle(P),Change(P)
2018-05-03,30313.36914,30800.0,320.0,258.0,-159.0,657.0,1003.0,346.0
2018-05-04,29926.5,30400.0,397.0,284.0,-118.0,742.0,906.0,159.0
2018-05-07,29994.25977,30000.0,526.0,409.0,-31.0,543.0,646.0,-14.0
2018-05-08,30402.81055,30000.0,430.0,603.0,194.0,596.0,404.0,-242.0
2018-05-09,30536.14063,30400.0,360.0,472.0,82.0,596.0,458.0,-132.0
2018-05-10,30809.2207,30600.0,400.0,468.0,95.0,515.0,398.0,-160.0
2018-05-11,31122.06055,30800.0,450.0,569.0,201.0,380.0,277.0,-218.0
2018-05-14,31541.08008,31200.0,429.0,544.0,196.0,353.0,286.0,-171.0
2018-05-15,31152.0293,31600.0,313.0,154.0,-183.0,512.0,763.0,286.0
2018-05-16,31110.19922,31200.0,238.0,265.0,-20.0,560.0,530.0,35.0
2018-05-17,30942.15039,31200.0,405.0,205.0,-60.0,330.0,522.0,-8.0
2018-05-18,31047.910160000003,31000.0,318.0,270.0,-20.0,350.0,370.0,-30.0
2018-05-21,31234.34961,31000.0,368.0,405.0,135.0,254.0,182.0,-188.0
2018-05-23,30665.64063,31200.0,205.0,52.0,-233.0,330.0,709.0,444.0
2018-05-24,30760.410160000003,30600.0,300.0,272.0,32.0,252.0,170.0,-123.0
2018-05-25,30588.039060000003,30800.0,139.0,107.0,-57.0,269.0,257.0,-6.0
2018-05-28,30792.25977,30600.0,241.0,232.0,27.0,101.0,71.0,-86.0
2018-05-29,30484.58008,30800.0,54.0,9.0,-96.0,230.0,377.0,229.0
2018-05-30,30056.789060000003,30400.0,13.0,0.0,-140.0,266.0,0.0,-115.0
2018-05-31,30468.56055,30000.0,627.0,865.0,339.0,548.0,373.0,-281.0
2018-06-01,30492.910160000003,30400.0,555.0,525.0,-86.0,533.0,542.0,24.0
2018-06-04,30997.98047,30400.0,670.0,803.0,278.0,421.0,303.0,-239.0
2018-06-05,31093.44922,31000.0,416.0,492.0,49.0,572.0,435.0,-110.0
2018-06-06,31259.09961,31000.0,491.0,539.0,47.0,426.0,355.0,-80.0
2018-06-07,31512.63086,31200.0,550.0,622.0,191.0,343.0,293.0,-150.0
2018-06-08,30958.210939999997,31600.0,315.0,166.0,-232.0,560.0,925.0,462.0
2018-06-11,31063.69922,31000.0,430.0,438.0,58.0,450.0,389.0,-162.0
2018-06-12,31103.06055,31000.0,380.0,398.0,-40.0,430.0,358.0,-31.0
2018-06-13,30725.15039,31200.0,258.0,163.0,-131.0,505.0,616.0,156.0
2018-06-14,30440.16992,30800.0,281.0,167.0,-163.0,450.0,558.0,177.0
2018-06-15,30309.49023,30400.0,340.0,250.0,-98.0,354.0,390.0,57.0
2018-06-19,29468.15039,30400.0,111.0,42.0,-208.0,640.0,1064.0,674.0
2018-06-20,29696.16992,29400.0,342.0,464.0,120.0,330.0,188.0,-183.0
2018-06-21,29296.05078,29600.0,366.0,159.0,-170.0,209.0,460.0,203.0
2018-06-22,29338.69922,29200.0,245.0,325.0,-29.0,305.0,187.0,-69.0
2018-06-25,28961.39063,29400.0,248.0,62.0,-149.0,251.0,503.0,229.0
2018-06-26,28881.40039,29000.0,182.0,157.0,-47.0,247.0,210.0,-28.0
2018-06-27,28356.25977,28800.0,300.0,11.0,-271.0,100.0,446.0,316.0
2018-06-28,28497.320310000003,28400.0,69.0,0.0,-126.0,104.0,0.0,-150.0
2018-06-29,28955.10938,28400.0,570.0,820.0,247.0,688.0,497.0,-204.0
2018-07-03,28545.570310000003,29000.0,328.0,348.0,-144.0,1021.0,1032.0,272.0
2018-07-04,28241.66992,28600.0,470.0,407.0,-109.0,828.0,955.0,151.0
2018-07-05,28182.089839999997,28200.0,587.0,653.0,66.0,730.0,660.0,-82.0
2018-07-06,28315.61914,28200.0,592.0,578.0,-75.0,700.0,576.0,-84.0
2018-07-09,28688.5,28400.0,719.0,720.0,245.0,420.0,402.0,-268.0
2018-07-10,28682.25,28600.0,691.0,497.0,-100.0,383.0,447.0,-31.0
2018-07-11,28311.68945,28600.0,400.0,325.0,-172.0,887.0,648.0,201.0
2018-07-12,28480.83008,28400.0,435.0,495.0,76.0,542.0,403.0,-148.0
2018-07-13,28525.43945,28400.0,618.0,485.0,-10.0,316.0,327.0,-76.0
2018-07-16,28539.660160000003,28600.0,400.0,306.0,-65.0,360.0,398.0,-13.0
2018-07-17,28181.679689999997,28600.0,237.0,172.0,-134.0,450.0,578.0,180.0
2018-07-18,28117.41992,28200.0,443.0,265.0,-91.0,267.0,384.0,25.0
2018-07-19,28010.85938,28200.0,317.0,225.0,-40.0,298.0,391.0,7.0
2018-07-20,28224.48047,28000.0,328.0,420.0,92.0,325.0,189.0,-101.0
2018-07-23,28256.11914,28200.0,262.0,264.0,-30.0,280.0,248.0,-19.0
2018-07-24,28662.570310000003,28200.0,271.0,525.0,261.0,201.0,75.0,-173.0
2018-07-25,28920.90039,28600.0,338.0,389.0,147.0,126.0,87.0,-105.0
2018-07-26,28781.14063,29000.0,208.0,51.0,-95.0,159.0,315.0,72.0
2018-07-27,28804.2793,28800.0,108.0,56.0,-61.0,150.0,125.0,-50.0
2018-07-30,28733.13086,28800.0,6.0,0.0,-56.0,200.0,0.0,-125.0
2018-07-31,28583.00977,28800.0,450.0,354.0,-119.0,610.0,719.0,119.0
