Date,Option Code,Strike,Open(C),Settle(C),IV(C),Open(P),Settle(P),IV(P)
2018-06-15,CKH,87.5,1.36,1.5,13,0.69,0.52,14
2018-06-15,CLP,80.0,0.0,1.74,11,0.4,0.2,11
2018-06-15,HKG,15.0,0.07,0.1,12,0.2,0.2,13
2018-06-15,WHL,25.0,0.0,1.58,19,0.2,0.02,19
2018-06-15,HKB,77.5,0.28,0.28,12,1.32,1.37,11
2018-06-15,HEH,55.0,0.77,0.66,9,0.25,0.26,10
2018-06-15,HSB,197.5,1.56,2.41,12,1.75,1.64,13
2018-06-15,HLD,44.0,0.0,0.64,15,0.38,0.44,16
2018-06-15,SHK,122.5,0.0,1.74,13,0.77,0.88,13
2018-06-15,NWD,12.0,0.1,0.08,21,0.0,0.36,19
2018-06-15,SWA,82.5,1.53,1.34,14,0.74,0.61,15
2018-06-15,BEA,32.0,0.43,0.64,19,0.47,0.36,20
2018-06-15,GLX,65.0,1.12,0.75,21,1.18,1.44,22
2018-06-15,MTR,44.0,0.24,0.2,14,0.0,0.87,13
2018-06-15,KLE,7.0,0.11,0.17,23,0.0,0.09,23
2018-06-15,WWC,7.75,0.18,0.13,32,0.25,0.27,34
2018-06-15,GAH,23.0,0.54,0.57,26,0.3,0.38,27
2018-06-15,CIT,11.5,0.0,0.22,18,0.24,0.12,19
2018-06-15,CPA,14.0,0.1,0.07,20,0.0,0.48,20
2018-06-15,JXC,11.5,0.11,0.06,23,0.41,0.44,20
2018-06-15,CPC,7.25,0.19,0.14,29,0.14,0.18,28
2018-06-15,HEX,255.0,3.54,3.26,15,2.58,2.76,15
2018-06-15,CRG,6.25,0.07,0.08,25,0.19,0.18,28
2018-06-15,DFM,9.0,0.0,0.09,22,0.45,0.44,24
2018-06-15,LIF,3.0,0.12,0.09,32,0.0,0.05,28
2018-06-15,COL,28.0,0.84,0.89,22,0.31,0.21,21
2018-06-15,TCH,410.0,9.25,6.17,19,3.5,6.33,20
2018-06-15,CTC,3.6,0.0,0.07,16,0.04,0.04,21
2018-06-15,CHU,10.0,0.18,0.21,21,0.15,0.14,23
2018-06-15,LNK,72.5,0.1,0.13,12,2.58,2.35,15
2018-06-15,PEC,6.0,0.19,0.16,30,0.08,0.11,28
2018-06-15,CNC,13.0,0.25,0.28,31,0.31,0.35,32
2018-06-15,HNP,5.75,0.06,0.03,26,0.24,0.28,27
2018-06-15,ACC,49.0,1.77,1.51,31,1.22,0.95,33
2018-06-15,XCC,7.75,0.158,0.118,16,0.056,0.069,15
2018-06-15,CHT,70.0,0.8,0.9,14,0.85,0.66,14
2018-06-15,LEN,4.2,0.13,0.15,19,0.05,0.02,20
2018-06-15,CTB,5.25,0.0,0.09,23,0.09,0.1,24
2018-06-15,HGN,77.5,0.0,1.45,24,1.37,1.45,25
2018-06-15,CSE,21.0,0.64,0.5,25,0.93,1.0,23
2018-06-15,CRL,29.0,0.68,0.54,24,0.52,0.56,26
2018-06-15,CKP,65.0,0.0,1.21,16,0.6,0.48,15
2018-06-15,YZC,11.5,0.51,0.38,37,0.2,0.26,35
2018-06-15,CRC,8.75,0.0,0.07,19,0.22,0.23,22
2018-06-15,BYD,52.5,0.87,0.46,25,1.37,1.81,25
2018-06-15,XAB,4.0,0.06,0.053,15,0.042,0.043,16
2018-06-15,AIA,70.0,1.21,0.89,20,0.77,1.2,19
2018-06-15,NCL,38.0,0.71,0.56,28,0.0,1.09,27
2018-06-15,PIN,4.0,0.1,0.1,27,0.0,0.08,31
2018-06-15,CDA,2.8,0.04,0.04,20,0.0,0.05,21
2018-06-15,XIC,6.5,0.031,0.025,17,0.175,0.186,15
2018-06-15,CCC,8.5,0.07,0.03,19,0.0,0.43,22
2018-06-15,CGN,2.1,0.0,0.04,17,0.0,0.03,24
2018-06-15,CCE,3.5,0.0,0.06,16,0.0,0.08,22
2018-06-15,SUN,32.0,0.0,0.87,36,0.62,0.85,34
2018-06-15,CCS,4.2,0.0,0.04,21,0.0,0.11,22
2018-06-15,SAN,45.0,0.73,0.62,20,0.61,0.8,21
2018-06-15,COG,16.0,0.0,0.52,33,0.0,0.34,36
2018-06-15,AAC,120.0,3.3,3.15,32,3.15,2.98,34
2018-06-15,FIH,1.7,0.0,0.01,89,0.0,0.35,0
2018-06-15,GAC,8.75,0.0,0.19,35,0.36,0.3,38
2018-06-15,MGM,21.0,0.4,0.36,25,0.51,0.48,27
2018-06-15,PAI,80.0,0.7,0.63,15,1.4,1.4,16
2018-06-15,MEN,28.0,0.59,0.43,30,0.74,0.96,32
2018-06-15,PIC,14.0,0.2,0.18,20,0.56,0.55,23
2018-06-15,GWM,7.25,0.0,0.05,26,0.26,0.31,29
2018-06-15,SNO,165.0,6.0,4.3,38,3.48,4.98,36
2018-06-15,BOC,40.0,0.27,0.25,15,0.72,0.75,14
2018-06-15,ALC,4.0,0.06,0.04,29,0.16,0.15,25
2018-06-15,CPI,35.0,0.43,0.65,28,1.0,0.88,29
2018-06-15,CLI,22.0,0.36,0.26,16,0.24,0.31,17
2018-06-15,RFP,18.5,0.0,0.21,27,0.0,0.59,26
2018-06-15,TRF,31.0,0.36,0.25,15,0.34,0.47,14
2018-06-15,CSA,15.0,0.19,0.18,19,0.2,0.25,18
2018-06-15,A50,14.5,0.29,0.23,18,0.14,0.19,19
2018-06-15,HCF,122.5,0.87,0.67,17,0.0,3.18,18
2018-06-15,STC,77.5,0.28,0.3,17,1.41,2.3,15
2018-06-15,ZJM,3.5,0.0,0.05,33,0.0,0.15,38
2018-06-15,AMC,47.0,0.58,0.51,17,0.75,0.77,18
2018-06-15,NBM,9.5,0.31,0.25,34,0.2,0.26,36
2018-06-15,BCM,6.25,0.0,0.1,17,0.0,0.31,15
2018-06-15,EVG,23.0,0.0,0.51,37,0.77,0.76,35
2018-06-15,PLE,0.8,0.03,0.02,62,0.0,0.05,43
2018-06-15,KSO,25.0,0.61,0.49,25,0.43,0.51,27
2018-06-15,CMB,32.0,0.38,0.26,19,0.7,0.76,20
2018-06-15,XBC,4.1,0.055,0.043,13,0.034,0.041,13
2018-06-15,CTS,19.5,0.13,0.01,24,0.72,1.72,23
2018-06-15,HAI,9.5,0.09,0.07,27,0.0,0.43,30
